lines,bytes,functions,max_function_lines,except_exception,ast_branch_nodes,path
46,2921,1,35,0,11,domains/affect/emotion_targeting.py
46,1951,2,21,0,10,affect_modulation_contract.py
42,2532,1,34,0,5,memory_context_policy.py
34,1620,4,15,0,9,config_schema.py
31,1310,1,15,0,3,p4_live_runtime.py
27,887,2,9,0,0,p4_b1b_guards.py
25,1268,1,18,0,10,runtime_lookup.py
21,721,1,13,0,2,page_backend/routing.py
21,599,1,12,0,0,qzone_errors.py
20,731,2,2,0,1,external_bridge_resolver.py
18,658,2,2,0,1,reality_companion_bridge.py
18,648,2,2,0,1,image_companion_bridge.py
17,1005,1,11,0,13,config_validation.py
17,635,1,12,0,0,page_backend/logs.py
16,557,2,2,0,1,calendar_contracts.py
16,545,2,2,0,1,qzone_contract.py
15,762,2,3,0,4,config_defaults.py
13,406,0,0,0,0,page_backend/__init__.py
12,667,1,5,0,4,persona_overlay.py
12,276,1,2,0,0,extension_api_image.py
11,388,1,6,0,3,page_backend/validation.py
10,279,0,0,0,0,private_reading.py
8,260,0,0,0,1,agenda_disclosure.py
6,315,0,0,0,1,emotion_event_contract.py
6,309,0,0,0,1,interaction_dynamics.py
6,309,0,0,0,1,emotion_event_ledger.py
6,300,0,0,0,1,reply_temperature.py
6,300,0,0,0,1,emotion_targeting.py
6,300,0,0,0,1,affect_modulation.py
1,82,0,0,0,0,domains/affect/__init__.py
1,66,0,0,0,0,domains/__init__.py
1,25,0,0,0,0,__init__.py
0,0,0,0,0,0,companion/integrations/__init__.py
0,0,0,0,0,0,companion/contracts/__init__.py
0,0,0,0,0,0,companion/__init__.py
